"","sub","consistency","rotation","imgID","imagename","correct","response_time"
"1",1,"con","noncanon",104,"104_Fahrradstaender",1,2243
"2",1,"incon","canon",76,"076_Tisch_Holztisch",1,1942
"3",1,"con","canon",66,"066_Stuhl_Barstuhl",1,1495
"4",1,"con","canon",13,"013_Blume_Rosen",1,2561
"5",1,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1285
"6",1,"con","noncanon",15,"015_Blume_Tulpen",1,1740
"7",1,"con","noncanon",16,"016_Computer_Laptop",1,1277
"8",1,"con","canon",110,"110_Tretauto",1,1259
"9",1,"incon","canon",102,"102_Bett_Kinderbett",1,818
"10",1,"con","canon",112,"112_Wanne_Badewanne",1,969
"11",1,"con","noncanon",114,"114_Brokkoli",1,1331
"12",1,"con","noncanon",62,"062_Sofa_Dreiersofa",1,1011
"13",1,"incon","canon",82,"082_Schaukelpferd",1,796
"14",1,"con","canon",113,"113_Brezel",1,631
"15",1,"incon","noncanon",105,"105_Geschenk",1,1007
"16",1,"con","canon",25,"025_Glas_Weinglas",1,783
"17",1,"incon","canon",43,"043_Lampe_Strassenlaterne",1,1338
"18",1,"con","noncanon",7,"007_Bett_Krankenhausbett",1,1601
"19",1,"con","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",1,2160
"20",1,"con","noncanon",109,"109_Router",1,1039
"21",1,"con","noncanon",111,"111_Wagen_Einkaufswagen",1,1210
"22",1,"incon","canon",28,"028_Wasserkocher_retroWasserkocher",1,1087
"23",1,"incon","canon",78,"078_Tisch_Sofatisch",1,1898
"24",1,"incon","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,704
"25",1,"incon","noncanon",101,"101_Becken_Waschbecken",1,1745
"26",1,"incon","noncanon",61,"061_Sitzbank_Baumbank",0,2465
"27",1,"con","noncanon",42,"042_Lampe_Stehlampe",1,716
"28",1,"incon","noncanon",119,"119_Paprika",1,665
"29",1,"incon","noncanon",63,"063_Sofa_Ecksofa",1,1129
"30",1,"con","canon",22,"022_Gitarre_Elektrogitarre",1,617
"31",1,"incon","noncanon",65,"065_Sofa_Zweiersofa",1,719
"32",1,"con","canon",19,"019_Drucker_Heimdrucker",1,742
"33",1,"incon","canon",70,"070_Stuhl_Schalenstuhl",1,644
"34",1,"incon","noncanon",106,"106_Hydrant",1,572
"35",1,"con","noncanon",80,"080_Uhr_Armbanduhr",1,1493
"36",1,"con","canon",36,"036_Roller",1,671
"37",1,"con","noncanon",56,"056_Seife_Fluessigseife",1,3092
"38",1,"con","canon",116,"116_Kamin",1,738
"39",1,"con","canon",115,"115_Kaefig_Vogelkaefig",1,934
"40",1,"con","canon",51,"051_Regal_Holzregal",1,1062
"41",1,"incon","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,592
"42",1,"incon","canon",91,"091_Flugzeug_Segelflieger",1,669
"43",1,"con","noncanon",47,"047_Nuss_Erdnuss",1,753
"44",1,"con","noncanon",67,"067_Stuhl_Buerostuhl",1,642
"45",1,"con","canon",69,"069_Stuhl_Rollstuhl",1,851
